Country Name,Country Code,Life Expectancy 2017,Health Expenditure 2017,GDP per Capita 2017,Total Population 2017,Poverty Headcount at 1.9,Education Expenditure 2017,Primary School Enrollment Ratio 2017,Gini Coefficient 2017,Physicians per 1000 - 2017
Finland,FIN,81.63170732,9.14156628,2.950531373,5508214,0.1,11.86386967,100.1546402,27.4,
Fiji,FJI,67.252,3.18689561,4.746814523,877460,,16.81719017,,,
France,FRA,82.57560976,11.39050198,1.994998447,66918020,0,9.652429581,102.4172211,31.6,3.2565
"Micronesia, Fed. Sts.",FSM,67.618,12.31883812,1.534322533,111461,,19.14845085,,,
Gabon,GAB,65.839,2.78074527,-2.29754117,2064812,3.4,16.05843925,,38,0.6819
United Kingdom,GBR,81.25609756,9.82511234,1.051454353,66058859,0.3,13.76128006,101.1545563,35.1,2.7863
Georgia,GEO,73.414,7.05804443,4.828569855,3728004,5,12.9533596,100.3583069,37.9,6.1297
Ghana,GHA,63.463,3.32977843,5.754348551,29121464,,20.09763908,105.5098801,,0.1359
Guinea,GIN,60.706,4.27482462,7.292111815,12067516,,13.37679005,,,
"Gambia, The",GMB,61.44,3.34084225,1.75610362,2213900,,,95.23710632,,
Guinea-Bissau,GNB,57.673,6.84708118,3.270713428,1828146,,15,,,
Equatorial Guinea,GNQ,58.061,3.01081419,-9.1677247,1262008,,,,,0.4017
Greece,GRC,81.28780488,7.96522522,1.481339542,10754679,0.9,7.183919907,99.55348206,34.4,5.4789
Grenada,GRD,72.388,4.59776449,3.867181416,110874,,14.04117012,111.447731,,1.4067
Guatemala,GTM,73.81,5.81384373,1.415648841,16087418,,23.08805084,101.1948929,,
Guyana,GUY,69.624,5.65979004,3.218644306,775218,,17.63573074,,,
Honduras,HND,74.898,7.00069904,3.083615218,9429016,15.4,19.67046928,91.53495789,49.4,0.3089
Croatia,HRV,77.82682927,6.77827311,4.688604235,4124531,0.5,8.638710022,96.47103119,30.4,
Haiti,HTI,63.29,8.08468342,0.959944659,10982367,,15.19684982,,,
Hungary,HUN,75.81707317,6.79227543,4.594487546,9787966,0.6,9.935609818,100.8054733,30.6,3.3447
Indonesia,IDN,71.282,2.86824059,3.841197264,264650969,4.5,16.11047935,105.9114304,38.1,0.3767
India,IND,69.165,3.53500652,5.665781149,1338676779,,,112.9578629,,0.7779
Ireland,IRL,82.15609756,7.15484905,7.760441977,4807388,0.2,13.20170975,100.8527832,31.4,3.2946
"Iran, Islamic Rep.",IRN,76.271,8.65966415,2.327750916,80673888,0.4,20.30521011,110.7075424,40.8,1.1292
Iraq,IRQ,70.294,4.12501717,-4.21855037,37552789,,,,,0.8375
Iceland,ISL,82.66097561,8.3432579,1.779410135,343400,0,17.04470062,100.3514404,26.1,3.9773
Israel,ISR,82.55121951,7.49766827,1.567289815,8713300,,15.70108032,104.901123,,3.4783
Italy,ITA,82.94634146,8.6777401,1.820333852,60536709,1.4,8.295180321,101.8793564,35.9,3.9805
Jamaica,JAM,74.267,6.14377928,0.49207659,2920848,,18.40254021,,,1.3061
